sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
500101191,YouBike2.0_大安運動中心,27,0,大安區,2023-05-08 18:03:04,25.02054,121.54561,辛亥路三段55號前方人行道(大安運動中心),Daan Dist.,YouBike2.0_Taipei Daan Sports Center,No. 55， Sec. 3， Xinhai Rd.,27,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 18:03:04,2023-05-08
500101192,YouBike2.0_和平敦化路口,25,0,大安區,2023-05-08 21:33:04,25.02444,121.54908,和平東路三段 / 敦化南路二段口(東側),Daan Dist.,YouBike2.0_Heping Rd. & Dunhua Rd. Intersection,Sec. 3， Heping E. Rd. & Sec. 2， Dunhua S. Rd. Intersection (East),25,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:33:04,2023-05-08
500101193,YouBike2.0_基隆長興路口,43,0,大安區,2023-05-08 21:11:04,25.01705,121.54435,基隆路/長興街(東南側),Daan Dist.,YouBike2.0_Keelung Rd. & Changxing St. Intersection,Keelung Rd. & Changxing St. Intersection (Southeast),43,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:11:04,2023-05-08
500101194,YouBike2.0_仁愛路四段122巷口,16,0,大安區,2023-05-08 21:40:09,25.03762,121.55009,仁愛路四段118號前,Daan Dist.,YouBike2.0_Ln. 122， Sec. 4， Ren'ai Rd.,No. 188， Sec. 4， Ren'ai Rd.,16,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:40:09,2023-05-08
500101197,YouBike2.0_忠孝東路四段49巷口,15,0,大安區,2023-05-08 21:44:04,25.04172,121.54541,忠孝東路四段55號前,Daan Dist.,YouBike2.0_Ln. 49， Sec. 4， Zhongxiao E. Rd.,No. 55， Sec. 4， Zhongxiao E. Rd.,15,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:44:04,2023-05-08
500101198,YouBike2.0_市民復興路口(東南側),16,0,大安區,2023-05-08 21:36:04,25.04472,121.54401,市民大道四段/復興路一段口(東南側),Daan Dist.,YouBike2.0_Civic Blvd. & Fuxing Rd. Intersection (Southeast),Sec. 4， Civic Blvd. & Sec. 1， Fuxing S. Rd. Intersection (Southeast),16,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:36:04,2023-05-08
500101202,YouBike2.0_仁愛敦南圓環(東南側),16,0,大安區,2023-05-08 21:40:09,25.03715,121.54936,仁愛路四段110號前,Daan Dist.,YouBike2.0_Renai Dunnan Traffic Cir (Southeast),No. 110， Sec. 4， Ren'ai Rd.,16,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:40:09,2023-05-08
500101204,YouBike2.0_外交部外交及國際事務學院,17,0,大安區,2023-05-08 21:21:04,25.0371,121.54839,敦化南路一段280號,Daan Dist.,YouBike2.0_Institute of Diplomacy and International Affairs,No. 280， Sec. 1， Dunhua S. Rd.,17,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:21:04,2023-05-08
500101209,YouBike2.0_臺大資訊大樓,40,0,大安區,2023-05-08 19:53:05,25.02101,121.54153,辛亥路二段(臺大外語學院外),Daan Dist.,YouBike2.0_NTU Information Building,Sec. 2， Xinhai Rd.(NTU Language Center),40,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 19:53:05,2023-05-08
500101212,YouBike2.0_捷運國父紀念館站(1號出口),25,0,大安區,2023-05-08 21:47:04,25.04205,121.55657,光復南路200巷26號東側,Daan Dist.,YouBike2.0_MRT S.Y.S Memorial Hall Sta. (Exit 1),No. 26， Ln. 200， Guangfu S. Rd. (East),25,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:47:04,2023-05-08
500101217,YouBike2.0_捷運大安站(5號出口),19,0,大安區,2023-05-08 21:47:04,25.03303,121.54372,復興南路二段/信義路四段(東南側),Daan Dist.,YouBike2.0_MRT Da’an Sta. (Exit 5),Sec. 2， Fuxing S. Rd. & Sec. 4， Xinyi Rd. Intersection (Southeast),19,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:47:04,2023-05-08
